# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-10-30T00:00:00.0/2008-10-31T00:00:00.0;11038.2666;8894.6475;8017.1875;877.4603;11675.0342;5948.7324;2701.1404;3247.5920;3058.0337;0.9806
2008-10-31T00:00:00.0/2008-11-01T00:00:00.0;11073.8994;8891.0986;7871.3789;1019.7194;11386.0381;6925.1836;4825.4233;2099.7603;5624.4004;0.9802
2008-11-01T00:00:00.0/2008-11-02T00:00:00.0;11108.8018;8835.6719;7646.4263;1189.2457;10890.9287;8087.0049;6756.3213;1330.6835;8477.7480;0.9802
2008-11-02T00:00:00.0/2008-11-03T00:00:00.0;11143.1699;8901.2559;7779.8027;1121.4535;10987.3076;7582.4033;4786.4795;2795.9238;5960.8604;0.9833
2008-11-03T00:00:00.0/2008-11-04T00:00:00.0;11176.8711;8772.3047;7259.6572;1512.6473;10259.7490;7434.9707;4616.6021;2818.3684;5601.2529;0.9778
2008-11-04T00:00:00.0/2008-11-05T00:00:00.0;11209.8301;9041.2783;7987.7026;1053.5759;11376.4111;8461.1895;6985.3003;1475.8887;8942.5615;0.9830
2008-11-05T00:00:00.0/2008-11-06T00:00:00.0;11242.2422;8964.7812;7698.9282;1265.8527;10841.6113;7678.4243;5725.9707;1952.4532;6751.1304;0.9826
2008-11-06T00:00:00.0/2008-11-07T00:00:00.0;11273.9736;9075.7559;8109.0615;966.6942;11663.0166;7991.0254;6130.3569;1860.6686;7950.9751;0.9823
2008-11-07T00:00:00.0/2008-11-08T00:00:00.0;11304.9648;9024.7246;7910.9565;1113.7681;11270.1367;7743.2598;5780.2148;1963.0449;6981.7563;0.9875
2008-11-08T00:00:00.0/2008-11-09T00:00:00.0;11335.3877;9127.6982;8114.2280;1013.4704;11647.7197;8440.1172;7158.9229;1281.1937;8879.2256;0.9868
2008-11-09T00:00:00.0/2008-11-10T00:00:00.0;11365.0908;9043.0732;8224.8184;818.2545;11824.6562;5853.4570;2249.3066;3604.1504;2581.5444;0.9865
2008-11-10T00:00:00.0/2008-11-11T00:00:00.0;11394.1689;9080.8555;8171.2988;909.5568;11824.3174;7557.4453;5385.6357;2171.8093;6684.7334;0.9753
2008-11-11T00:00:00.0/2008-11-12T00:00:00.0;11422.5039;9137.1895;8336.6758;800.5140;12022.0059;6587.8027;4631.5371;1956.2653;5354.0776;0.9858
2008-11-12T00:00:00.0/2008-11-13T00:00:00.0;11450.2549;9148.3271;8123.9902;1024.3374;11607.1631;6578.6719;2962.5518;3616.1204;3599.9873;0.9851
2008-11-13T00:00:00.0/2008-11-14T00:00:00.0;11477.2832;9203.5576;8254.6846;948.8724;11836.4570;7678.7109;5708.5337;1970.1769;6632.5962;0.9847
2008-11-14T00:00:00.0/2008-11-15T00:00:00.0;11503.6416;9079.3516;7794.9004;1284.4513;10942.1777;8010.8486;5616.3179;2394.5305;6885.2134;0.9844
2008-11-15T00:00:00.0/2008-11-16T00:00:00.0;11529.3447;9283.1699;8356.9971;926.1729;11997.5107;7195.5396;4984.0332;2211.5063;6222.0840;0.9840
2008-11-16T00:00:00.0/2008-11-17T00:00:00.0;11554.3574;9329.4004;8265.7129;1063.6870;11809.0869;7980.2188;5275.8203;2704.3984;6482.6714;0.9736
2008-11-17T00:00:00.0/2008-11-18T00:00:00.0;11578.7490;9240.4404;8064.5078;1175.9323;11513.9912;8750.4150;6867.9824;1882.4327;9230.7725;0.9830
2008-11-18T00:00:00.0/2008-11-19T00:00:00.0;11602.3896;9324.1514;8395.6055;928.5460;11954.8086;8306.2959;6348.2314;1958.0651;7561.0171;0.9830
2008-11-19T00:00:00.0/2008-11-20T00:00:00.0;11625.3945;9282.2793;8037.4229;1244.8564;11360.8105;5398.8076;1928.4131;3470.3945;2070.9282;0.9774
2008-11-20T00:00:00.0/2008-11-21T00:00:00.0;11647.7715;9312.6396;8234.3066;1078.3329;11699.5771;7470.3765;4371.2339;3099.1423;5095.0083;0.9819
2008-11-21T00:00:00.0/2008-11-22T00:00:00.0;11669.4326;9054.9912;7397.3677;1657.6239;10257.2236;7353.2959;4290.6396;3062.6562;4984.6953;0.9816
2008-11-22T00:00:00.0/2008-11-23T00:00:00.0;11690.3867;9128.0186;7723.2539;1404.7648;10838.6455;8009.7578;5354.2104;2655.5474;6474.1680;0.9816
2008-11-23T00:00:00.0/2008-11-24T00:00:00.0;11710.7080;9261.3096;8075.6011;1185.7083;11398.0410;8725.3818;7010.1616;1715.2205;9120.4727;0.9812
2008-11-24T00:00:00.0/2008-11-25T00:00:00.0;11730.3506;9111.5225;7749.0957;1362.4272;10781.9170;8063.2539;5598.8657;2464.3882;7012.3901;0.9809
2008-11-25T00:00:00.0/2008-11-26T00:00:00.0;11749.3691;9161.0625;7849.4644;1311.5983;10960.5674;6879.9800;4488.9326;2391.0471;5430.9023;0.9802
2008-11-26T00:00:00.0/2008-11-27T00:00:00.0;11767.6455;9250.5703;8053.4712;1197.0988;11380.9570;6363.9009;4381.7583;1982.1427;5364.9487;0.9802
2008-11-27T00:00:00.0/2008-11-28T00:00:00.0;11785.2910;9317.3252;8331.0039;986.3214;11847.9385;7372.8462;4999.6626;2373.1838;5771.4302;0.9799
2008-11-28T00:00:00.0/2008-11-29T00:00:00.0;11802.2617;9256.2461;8110.2686;1145.9774;11406.9365;7050.6753;4707.0103;2343.6648;5775.4170;0.9795
2008-11-29T00:00:00.0/2008-11-30T00:00:00.0;11818.5586;9306.1094;8241.4883;1064.6208;11630.6973;7329.7129;3991.7322;3337.9805;4845.9634;0.9792
2008-11-30T00:00:00.0/2008-12-01T00:00:00.0;11834.1611;9450.1504;8541.3115;908.8387;12193.7354;7596.5669;4295.8188;3300.7478;5113.7935;0.9792
2008-12-01T00:00:00.0/2008-12-02T00:00:00.0;11849.1338;9484.4492;8642.1826;842.2659;12367.6748;4293.7661;1620.7159;2673.0500;1661.5905;0.9736
2008-12-02T00:00:00.0/2008-12-03T00:00:00.0;11863.4355;9473.6074;8383.7490;1089.8578;11869.9590;5204.2905;1684.5471;3519.7432;1813.9175;0.9788
2008-12-03T00:00:00.0/2008-12-04T00:00:00.0;11877.0293;9372.7793;7967.9263;1404.8534;11134.0391;5691.2690;2103.1304;3588.1387;2280.1267;0.9788
2008-12-04T00:00:00.0/2008-12-05T00:00:00.0;11890.0107;9576.2061;8620.3838;955.8218;12286.8018;6840.6899;3872.2156;2968.4744;4378.1479;0.9833
2008-12-05T00:00:00.0/2008-12-06T00:00:00.0;11902.3223;9496.4541;8413.9824;1082.4717;11909.2842;7529.9385;4852.8433;2677.0952;5579.6118;0.9830
2008-12-06T00:00:00.0/2008-12-07T00:00:00.0;11913.9238;9473.3340;8400.4951;1072.8383;11799.5889;6773.3232;3407.9011;3365.4221;3894.0352;0.9830
2008-12-07T00:00:00.0/2008-12-08T00:00:00.0;11924.8867;9311.8438;7768.7886;1543.0552;10809.5400;7910.7217;5890.9810;2019.7406;6833.8501;0.9830
2008-12-08T00:00:00.0/2008-12-09T00:00:00.0;11935.2246;9026.0977;7108.2227;1917.8751;9783.3633;7079.2852;3760.2041;3319.0808;4298.8252;0.9566
2008-12-09T00:00:00.0/2008-12-10T00:00:00.0;11944.8906;9351.5830;8142.0713;1209.5116;11435.1875;6179.6611;2103.2649;4076.3960;2571.1543;0.9823
2008-12-10T00:00:00.0/2008-12-11T00:00:00.0;11953.8652;9373.6494;8249.3438;1124.3053;11621.2783;4360.3174;982.7974;3377.5203;1034.8226;0.9823
2008-12-11T00:00:00.0/2008-12-12T00:00:00.0;11962.1836;9514.5391;8500.6211;1013.9178;12093.4131;4420.4751;845.4442;3575.0310;1039.3536;0.9823
2008-12-12T00:00:00.0/2008-12-13T00:00:00.0;11969.8818;9510.9043;8353.8789;1157.0255;11787.6074;5467.1997;2312.8555;3154.3442;2476.1016;0.9819
2008-12-13T00:00:00.0/2008-12-14T00:00:00.0;11976.8926;9518.2871;8534.0938;984.1935;12095.1074;7336.2495;4166.3086;3169.9409;4905.2295;0.9819
2008-12-14T00:00:00.0/2008-12-15T00:00:00.0;11983.2275;9515.7744;8572.7090;943.0651;12153.7842;5967.4380;2584.1978;3383.2402;2763.3198;0.9819
2008-12-15T00:00:00.0/2008-12-16T00:00:00.0;11988.9248;9499.6787;8375.5811;1124.0977;11811.5459;7525.6138;5076.5752;2449.0386;5780.6338;0.9819
2008-12-16T00:00:00.0/2008-12-17T00:00:00.0;11994.0020;9545.3037;8394.4912;1150.8121;11868.7959;7966.0742;5367.3232;2598.7510;6263.1328;0.9764
2008-12-17T00:00:00.0/2008-12-18T00:00:00.0;11998.3291;9513.8506;8448.3428;1065.5077;11906.6592;6718.2656;2543.1270;4175.1382;3239.7378;0.9872
2008-12-18T00:00:00.0/2008-12-19T00:00:00.0;12002.1045;9497.3760;8354.2109;1143.1647;11738.1289;5032.6602;1562.6277;3470.0325;1641.1069;0.9868
2008-12-19T00:00:00.0/2008-12-20T00:00:00.0;12005.1543;9409.4707;8211.6846;1197.7867;11472.2852;6474.2109;2641.2029;3833.0078;2950.2810;0.9872
2008-12-20T00:00:00.0/2008-12-21T00:00:00.0;12007.5742;9355.0703;8023.2495;1331.8208;11268.5098;6982.9365;3739.4053;3243.5310;4592.4087;0.9872
2008-12-21T00:00:00.0/2008-12-22T00:00:00.0;12009.3047;9274.6143;7804.3374;1470.2765;10832.5635;7281.5454;4358.2471;2923.2986;5197.8530;0.9868
2008-12-22T00:00:00.0/2008-12-23T00:00:00.0;12010.4072;9478.1172;8603.1738;874.9438;12341.9844;4232.2422;716.0353;3516.2068;748.7394;0.9868
2008-12-23T00:00:00.0/2008-12-24T00:00:00.0;12010.8145;9513.4209;8670.9033;842.5179;12336.1045;5509.4351;1598.7072;3910.7278;1745.5544;0.9868
2008-12-24T00:00:00.0/2008-12-25T00:00:00.0;12010.5938;9435.1650;8363.0859;1072.0789;11813.7861;4814.4707;1309.8755;3504.5955;1366.9926;0.9868
2008-12-25T00:00:00.0/2008-12-26T00:00:00.0;12009.6396;9488.6582;8342.4062;1146.2521;11718.3330;6758.4814;2775.1990;3983.2825;3139.1199;0.9872
2008-12-26T00:00:00.0/2008-12-27T00:00:00.0;12008.1211;9531.5107;8284.6172;1246.8943;11636.1807;6876.8770;3036.7952;3840.0820;3531.8875;0.9868
2008-12-27T00:00:00.0/2008-12-28T00:00:00.0;12005.8467;9513.9619;8424.8057;1089.1561;11979.7246;8418.3184;5973.0796;2445.2385;7193.5771;0.9872
2008-12-28T00:00:00.0/2008-12-29T00:00:00.0;12002.9707;9525.4834;8617.9873;907.4960;12334.8369;6497.1475;2275.3403;4221.8071;2809.4065;0.9868
2008-12-29T00:00:00.0/2008-12-30T00:00:00.0;11999.3711;9447.2783;8425.3818;1021.8966;11972.6104;4340.6445;864.9316;3475.7129;902.9536;0.9819
2008-12-30T00:00:00.0/2008-12-31T00:00:00.0;11995.0791;9439.0908;8192.5107;1246.5802;11603.3916;6617.4458;2596.5916;4020.8542;3293.2805;0.9823
2008-12-31T00:00:00.0/2009-01-01T00:00:00.0;11990.1484;9427.4902;8287.6514;1139.8392;11774.2979;7219.7568;4099.5732;3120.1831;4984.5337;0.9823
2009-01-01T00:00:00.0/2009-01-02T00:00:00.0;11984.5635;9455.0186;8488.7178;966.3011;12094.3701;5859.9365;2508.6389;3351.2979;2845.9517;0.9823
2009-01-02T00:00:00.0/2009-01-03T00:00:00.0;11978.2451;9556.6260;8747.0645;809.5618;12580.7354;5342.4536;1994.6912;3347.7625;2127.4053;0.9826
2009-01-03T00:00:00.0/2009-01-04T00:00:00.0;11971.2842;9583.5420;8519.9873;1063.5548;12021.5898;6378.3960;3657.9033;2720.4927;4259.4810;0.9826
2009-01-04T00:00:00.0/2009-01-05T00:00:00.0;11963.6035;9701.3223;8735.5195;965.8030;12412.2510;8615.6582;5949.2529;2666.4050;7508.5210;0.9830
2009-01-05T00:00:00.0/2009-01-06T00:00:00.0;11955.2773;9556.4941;8372.3809;1184.1139;11865.4082;8719.1406;6808.0356;1911.1046;8288.9805;0.9830
2009-01-06T00:00:00.0/2009-01-07T00:00:00.0;11946.2178;9474.4648;8347.2705;1127.1946;11874.2666;7952.7026;4877.2642;3075.4387;5988.0537;0.9052
2009-01-07T00:00:00.0/2009-01-08T00:00:00.0;11936.5234;9587.3320;8823.5635;763.7690;12703.2676;7388.0972;4648.0942;2740.0032;5626.4458;0.9833
2009-01-08T00:00:00.0/2009-01-09T00:00:00.0;11926.0869;9575.0205;8782.9346;792.0850;12597.6318;6314.6436;2683.7122;3630.9314;2994.2979;0.9837
2009-01-09T00:00:00.0/2009-01-10T00:00:00.0;11914.9492;9586.7529;8723.8936;862.8594;12480.5059;7195.3193;5032.3350;2162.9841;5572.1509;0.9788
2009-01-10T00:00:00.0/2009-01-11T00:00:00.0;11903.1504;9527.3467;8475.5293;1051.8174;12095.9648;8846.2549;6884.6338;1961.6213;8647.0098;0.9788
2009-01-11T00:00:00.0/2009-01-12T00:00:00.0;11890.6211;9496.0352;8566.7041;929.3306;12310.4072;6854.6265;3547.6587;3306.9678;4457.9678;0.9792
2009-01-12T00:00:00.0/2009-01-13T00:00:00.0;11877.3818;9553.1318;8679.8350;873.2974;12341.9736;8561.0801;6245.6577;2315.4221;7830.1758;0.9795
2009-01-13T00:00:00.0/2009-01-14T00:00:00.0;11863.4248;9321.9619;8059.3696;1262.5918;11318.3789;7411.0410;5274.1011;2136.9404;5997.0176;0.9799
