-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2008 through 02/29/2024 
Location: Latitude  -26.0323   Longitude -65.9232 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1842.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,PS,RH2M,T2M,T2M_RANGE,WS2M
2008,10,1,0.0,81.43,34.38,15.05,18.25,2.52
2008,10,2,0.0,81.54,48.88,13.57,14.95,2.85
2008,10,3,0.52,81.25,50.31,15.77,20.18,2.65
2008,10,4,0.03,81.92,67.69,10.07,10.88,2.94
2008,10,5,0.0,81.84,63.69,11.57,13.61,3.04
2008,10,6,0.0,82.02,56.19,14.35,16.16,2.03
2008,10,7,0.0,82.47,55.81,14.65,11.68,2.55
2008,10,8,0.0,82.28,47.81,13.81,14.61,3.24
2008,10,9,0.0,81.67,42.69,15.33,15.67,2.66
2008,10,10,0.0,81.37,39.06,17.7,18.17,2.24
2008,10,11,0.0,81.27,38.88,20.0,19.03,2.64
2008,10,12,0.0,81.18,39.88,21.84,19.41,2.58
2008,10,13,0.0,81.34,59.5,20.0,12.89,2.44
2008,10,14,2.62,81.59,72.19,16.83,11.91,2.62
2008,10,15,12.76,81.91,76.38,16.36,12.76,2.78
2008,10,16,8.61,82.16,82.94,13.12,6.81,2.8
2008,10,17,0.95,82.04,77.75,13.01,9.25,2.88
2008,10,18,0.0,81.91,70.12,14.29,12.3,2.59
2008,10,19,0.0,81.66,60.12,17.12,16.09,2.77
2008,10,20,0.0,81.38,44.88,19.62,19.75,2.7
2008,10,21,3.4,81.27,50.44,21.45,17.36,2.34
2008,10,22,2.34,81.73,72.94,13.42,9.73,3.18
2008,10,23,0.0,81.73,56.5,15.21,16.39,2.48
2008,10,24,0.0,81.72,69.56,17.44,14.36,2.62
2008,10,25,0.0,81.29,66.19,21.01,17.0,3.06
2008,10,26,0.0,81.71,60.94,17.55,12.02,2.24
2008,10,27,0.0,81.64,60.75,17.25,15.68,3.01
2008,10,28,1.83,81.25,51.06,20.59,18.95,2.32
2008,10,29,4.64,81.78,80.69,13.87,8.27,2.55
2008,10,30,0.02,82.0,69.5,12.89,10.44,2.49
2008,10,31,0.0,81.73,64.75,15.56,16.94,3.07
2008,11,1,0.0,81.35,58.19,17.48,17.4,2.59
2008,11,2,0.0,81.74,60.75,17.23,13.24,2.38
2008,11,3,0.0,81.66,61.38,17.91,16.22,2.68
2008,11,4,1.55,81.48,63.12,19.41,15.8,2.7
2008,11,5,4.34,81.3,62.06,20.1,16.04,2.3
