# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2008-10-30T00:00:00.0
# Date end (ISO 8601): 2023-11-01T00:00:00.0
# Latitude (positive North, ISO 19115): -22.2001
# Longitude (positive East, ISO 19115): -65.6296
# Altitude (m): 3529.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-12-15
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-10-30T00:00:00.0/2008-10-31T00:00:00.0;11053.7236;9114.9658;8244.3711;870.5945;11844.7373;6039.4741;2624.5811;3414.8931;2883.8350;0.9837
2008-10-31T00:00:00.0/2008-11-01T00:00:00.0;11082.3936;9161.3926;8055.2651;1106.1272;11441.2305;7369.1543;4697.8584;2671.2959;5527.1680;0.9833
2008-11-01T00:00:00.0/2008-11-02T00:00:00.0;11110.4727;9341.4033;8455.8457;885.5574;12197.2500;6961.8613;5036.4761;1925.3853;6101.9766;0.9830
2008-11-02T00:00:00.0/2008-11-03T00:00:00.0;11137.9590;9431.9473;8709.3525;722.5945;12639.4619;9136.7588;8317.6133;819.1459;10901.0303;0.9826
2008-11-03T00:00:00.0/2008-11-04T00:00:00.0;11164.8594;9363.4824;8560.6982;802.7842;12400.8457;7525.2061;4529.4185;2995.7878;6124.8022;0.9771
2008-11-04T00:00:00.0/2008-11-05T00:00:00.0;11191.1660;9536.8486;8785.8301;751.0185;12731.7852;8035.9219;5966.3765;2069.5452;7647.5547;0.9819
2008-11-05T00:00:00.0/2008-11-06T00:00:00.0;11216.9287;9591.4854;8796.9824;794.5024;12720.6836;8114.1445;6336.4028;1777.7416;7241.6128;0.9812
2008-11-06T00:00:00.0/2008-11-07T00:00:00.0;11242.0146;9469.2500;8603.6396;865.6105;12409.6494;5818.0630;2144.6213;3673.4417;2345.3096;0.9812
2008-11-07T00:00:00.0/2008-11-08T00:00:00.0;11266.6055;9430.8184;8428.4609;1002.3572;12022.5723;7379.2349;4677.1001;2702.1348;5240.9414;0.9806
2008-11-08T00:00:00.0/2008-11-09T00:00:00.0;11290.5098;9404.1572;8312.1982;1091.9584;11809.4287;7570.0283;6096.4312;1473.5973;7217.3315;0.9806
2008-11-09T00:00:00.0/2008-11-10T00:00:00.0;11313.9307;9329.0225;8373.3008;955.7214;11953.3311;6897.9663;3946.3687;2951.5977;5492.5586;0.9799
2008-11-10T00:00:00.0/2008-11-11T00:00:00.0;11336.6621;9417.9580;8479.4131;938.5458;12159.5254;8469.3037;6324.4604;2144.8435;8185.2788;0.9694
2008-11-11T00:00:00.0/2008-11-12T00:00:00.0;11358.9160;9419.9648;8582.3350;837.6302;12363.6729;5942.3335;2217.2070;3725.1267;2815.6890;0.9792
2008-11-12T00:00:00.0/2008-11-13T00:00:00.0;11380.5449;9462.6387;8611.2891;851.3494;12323.7275;6206.3149;2040.5837;4165.7310;2906.8464;0.9788
2008-11-13T00:00:00.0/2008-11-14T00:00:00.0;11401.5439;9554.0146;8679.9697;874.0446;12444.5166;7187.0356;4167.3784;3019.6570;4702.8462;0.9837
2008-11-14T00:00:00.0/2008-11-15T00:00:00.0;11422.0684;9525.8193;8592.0381;933.7806;12282.7334;8109.8081;6378.0020;1731.8065;7649.0918;0.9878
2008-11-15T00:00:00.0/2008-11-16T00:00:00.0;11441.9736;9629.2979;8695.0938;934.2046;12457.4854;8233.7080;5722.0415;2511.6665;7233.5391;0.9875
2008-11-16T00:00:00.0/2008-11-17T00:00:00.0;11461.2715;9556.7686;8801.8369;754.9311;12666.4053;7575.9468;4611.6919;2964.2549;6146.7256;0.9771
2008-11-17T00:00:00.0/2008-11-18T00:00:00.0;11480.0439;9550.7783;8509.8105;1040.9678;12145.6367;9134.9902;7884.8291;1250.1613;10206.8926;0.9875
2008-11-18T00:00:00.0/2008-11-19T00:00:00.0;11498.3037;9621.9023;8900.1680;721.7347;12828.2324;8606.2148;6546.5547;2059.6604;8318.5488;0.9872
2008-11-19T00:00:00.0/2008-11-20T00:00:00.0;11515.9365;9569.1328;8707.8633;861.2694;12460.3906;7194.3130;3327.3726;3866.9404;4462.3701;0.9823
2008-11-20T00:00:00.0/2008-11-21T00:00:00.0;11533.0449;9549.6279;8553.2578;996.3699;12167.9258;5474.6089;1488.5591;3986.0498;2041.6434;0.9868
2008-11-21T00:00:00.0/2008-11-22T00:00:00.0;11549.5957;9407.5449;7988.5649;1418.9797;11084.6826;6565.7729;3688.5935;2877.1794;4024.3254;0.9865
2008-11-22T00:00:00.0/2008-11-23T00:00:00.0;11565.5752;9519.3457;8241.7422;1277.6033;11582.0605;7070.8555;4544.9785;2525.8770;5536.3623;0.9865
2008-11-23T00:00:00.0/2008-11-24T00:00:00.0;11581.0947;9734.2588;8924.5488;809.7101;12806.2227;8468.4648;6654.7461;1813.7181;8063.5015;0.9861
2008-11-24T00:00:00.0/2008-11-25T00:00:00.0;11596.0312;9496.0254;8156.0298;1339.9954;11389.7637;5550.3096;2070.1931;3480.1167;2337.5649;0.9854
2008-11-25T00:00:00.0/2008-11-26T00:00:00.0;11610.4072;9467.8496;8281.8135;1186.0364;11724.2402;5706.3555;2340.9043;3365.4512;2868.8022;0.9854
2008-11-26T00:00:00.0/2008-11-27T00:00:00.0;11624.2959;9650.3643;8738.3125;912.0514;12525.3242;6407.4976;3431.4495;2976.0479;5020.5771;0.9854
2008-11-27T00:00:00.0/2008-11-28T00:00:00.0;11637.6406;9632.9629;8762.1328;870.8294;12590.3203;6837.4175;3862.8721;2974.5454;5022.6992;0.9847
2008-11-28T00:00:00.0/2008-11-29T00:00:00.0;11650.4395;9572.1025;8224.1875;1347.9155;11567.7021;6288.6011;2756.7212;3531.8799;3650.8027;0.9847
2008-11-29T00:00:00.0/2008-11-30T00:00:00.0;11662.7656;9504.4033;8213.1904;1291.2126;11510.3506;6477.9512;2323.4053;4154.5459;3088.4248;0.9847
2008-11-30T00:00:00.0/2008-12-01T00:00:00.0;11674.5586;9538.3818;8505.4932;1032.8892;12000.7861;6710.0605;3210.4470;3499.6135;3807.2144;0.9840
2008-12-01T00:00:00.0/2008-12-02T00:00:00.0;11685.8154;9581.8955;8642.3818;939.5133;12252.4492;4754.3389;759.6950;3994.6440;836.4373;0.9788
2008-12-02T00:00:00.0/2008-12-03T00:00:00.0;11696.5664;9710.2207;8772.4707;937.7501;12472.8223;5590.6519;1656.7406;3933.9111;1780.4010;0.9840
2008-12-03T00:00:00.0/2008-12-04T00:00:00.0;11706.8555;9582.1709;8265.6875;1316.4834;11663.5801;5888.9409;2535.1616;3353.7791;2717.4270;0.9837
2008-12-04T00:00:00.0/2008-12-05T00:00:00.0;11716.6182;9831.5264;9027.6084;803.9180;13030.0459;6765.5176;3433.2090;3332.3088;3883.2991;0.9837
2008-12-05T00:00:00.0/2008-12-06T00:00:00.0;11725.9170;9751.6123;8818.1426;933.4700;12566.1982;5900.6660;1901.3392;3999.3267;2263.2881;0.9833
2008-12-06T00:00:00.0/2008-12-07T00:00:00.0;11734.7158;9622.6670;8536.8164;1085.8510;12098.3535;5052.7793;1040.8795;4011.8994;1128.9767;0.9826
2008-12-07T00:00:00.0/2008-12-08T00:00:00.0;11742.9941;9582.6709;8494.3750;1088.2955;11900.4717;7018.4097;4240.0591;2778.3503;4776.6797;0.9830
2008-12-08T00:00:00.0/2008-12-09T00:00:00.0;11750.7852;9365.6816;7393.1494;1972.5323;10098.2588;6230.7905;3186.8384;3043.9524;3674.5793;0.9569
2008-12-09T00:00:00.0/2008-12-10T00:00:00.0;11758.0918;9384.9229;7563.8027;1821.1199;10387.5107;6459.4858;3663.5759;2795.9099;4347.5947;0.9833
2008-12-10T00:00:00.0/2008-12-11T00:00:00.0;11764.9736;9422.2393;7971.3115;1450.9275;10999.2754;4040.6497;396.5672;3644.0825;452.3568;0.9826
2008-12-11T00:00:00.0/2008-12-12T00:00:00.0;11771.3643;9509.2969;8182.0244;1327.2719;11439.9941;3046.6316;116.9517;2929.6799;133.5755;0.9826
2008-12-12T00:00:00.0/2008-12-13T00:00:00.0;11777.1953;9650.0957;8465.0732;1185.0231;11882.8271;7472.9287;4106.1777;3366.7507;4651.4009;0.9826
2008-12-13T00:00:00.0/2008-12-14T00:00:00.0;11782.6543;9596.6758;8376.7334;1219.9426;11755.8730;6700.8481;2563.5112;4137.3369;3210.4080;0.9823
2008-12-14T00:00:00.0/2008-12-15T00:00:00.0;11787.5586;9580.4062;8331.0566;1249.3500;11714.3438;6459.1431;2514.2751;3944.8682;3138.1936;0.9823
2008-12-15T00:00:00.0/2008-12-16T00:00:00.0;11792.0410;9699.3135;8664.2949;1035.0181;12326.6416;5920.0381;2061.0522;3858.9861;2387.0205;0.9823
2008-12-16T00:00:00.0/2008-12-17T00:00:00.0;11796.0654;9701.3945;8558.2021;1143.1920;12174.3975;6867.9512;2643.9697;4223.9814;3481.9114;0.9715
2008-12-17T00:00:00.0/2008-12-18T00:00:00.0;11799.5479;9658.0537;8439.5059;1218.5479;11959.2666;6392.1709;2324.7693;4067.4019;3194.2957;0.9823
2008-12-18T00:00:00.0/2008-12-19T00:00:00.0;11802.6484;9649.0488;8607.8867;1041.1624;12158.7666;6354.4482;2747.4104;3607.0376;3400.0105;0.9819
2008-12-19T00:00:00.0/2008-12-20T00:00:00.0;11805.1846;9562.2148;8315.6895;1246.5255;11709.0293;4951.4351;1121.0884;3830.3464;1229.3979;0.9823
2008-12-20T00:00:00.0/2008-12-21T00:00:00.0;11807.3574;9573.4424;8328.4922;1244.9501;11703.5703;7319.6084;3513.8474;3805.7607;4470.2319;0.9819
2008-12-21T00:00:00.0/2008-12-22T00:00:00.0;11808.9990;9629.2861;8452.2959;1176.9899;12012.5352;6642.2168;3624.5967;3017.6201;5363.6079;0.9819
2008-12-22T00:00:00.0/2008-12-23T00:00:00.0;11810.1924;9586.7178;8688.7324;897.9854;12464.2539;4128.1377;473.3478;3654.7900;528.0312;0.9819
2008-12-23T00:00:00.0/2008-12-24T00:00:00.0;11810.8545;9659.7354;8974.0801;685.6553;12875.9023;4389.2754;586.5732;3802.7021;651.6080;0.9819
2008-12-24T00:00:00.0/2008-12-25T00:00:00.0;11811.1475;9584.3906;8660.3643;924.0261;12325.7002;4899.4111;897.2745;4002.1365;1044.9064;0.9819
2008-12-25T00:00:00.0/2008-12-26T00:00:00.0;11810.8721;9645.0986;8853.6328;791.4660;12726.6221;5327.2437;1391.4624;3935.7815;1700.4857;0.9819
2008-12-26T00:00:00.0/2008-12-27T00:00:00.0;11810.2080;9730.0918;8964.6025;765.4902;12836.8838;5447.0703;1587.2397;3859.8308;1783.4681;0.9819
2008-12-27T00:00:00.0/2008-12-28T00:00:00.0;11808.9932;9623.4941;8307.0430;1316.4502;11678.3301;7318.6289;3291.3650;4027.2639;4346.3193;0.9819
2008-12-28T00:00:00.0/2008-12-29T00:00:00.0;11807.3291;9535.6357;8163.6909;1371.9448;11477.0518;5666.5327;2327.4744;3339.0586;2565.4614;0.9823
2008-12-29T00:00:00.0/2008-12-30T00:00:00.0;11805.1924;9627.3379;8901.1885;726.1495;12819.3086;4453.1641;2107.7751;2345.3889;2167.2400;0.9819
2008-12-30T00:00:00.0/2008-12-31T00:00:00.0;11802.5205;9651.0322;8891.8115;759.2213;12738.2080;3847.4890;379.7716;3467.7173;425.3791;0.9826
2008-12-31T00:00:00.0/2009-01-01T00:00:00.0;11799.4111;9547.2666;8429.1074;1118.1584;11946.3252;4926.6655;1373.4517;3553.2139;1845.3295;0.9823
2009-01-01T00:00:00.0/2009-01-02T00:00:00.0;11795.8066;9594.6309;8711.4873;883.1441;12334.2070;5155.5596;1112.4048;4043.1548;1265.3989;0.9826
2009-01-02T00:00:00.0/2009-01-03T00:00:00.0;11791.7061;9574.2441;8366.0420;1208.2024;11794.6523;6959.0371;3451.4407;3507.5964;4529.1348;0.9826
2009-01-03T00:00:00.0/2009-01-04T00:00:00.0;11787.0723;9686.7861;8874.6260;812.1602;12711.6387;5427.4443;1702.7880;3724.6562;1805.1072;0.9830
2009-01-04T00:00:00.0/2009-01-05T00:00:00.0;11781.9189;9717.1553;8849.0898;868.0652;12598.2734;4953.5498;1495.7711;3457.7786;1558.7550;0.9833
2009-01-05T00:00:00.0/2009-01-06T00:00:00.0;11776.3516;9632.2705;8453.9365;1178.3345;11858.1123;6678.9033;3073.7903;3605.1133;4366.3774;0.9833
2009-01-06T00:00:00.0/2009-01-07T00:00:00.0;11770.1973;9535.2207;7879.3384;1655.8829;11019.3662;5268.0225;987.1306;4280.8921;1179.1650;0.9104
2009-01-07T00:00:00.0/2009-01-08T00:00:00.0;11763.5195;9706.7832;8792.8984;913.8847;12638.3750;4551.1567;933.9987;3617.1580;1179.4045;0.9837
2009-01-08T00:00:00.0/2009-01-09T00:00:00.0;11756.3438;9804.0889;9035.6250;768.4642;12952.3447;6575.2783;2709.6160;3865.6626;3138.5132;0.9837
2009-01-09T00:00:00.0/2009-01-10T00:00:00.0;11748.6162;9744.0322;8835.5996;908.4328;12653.4287;6387.7520;2639.3171;3748.4348;3560.6313;0.9837
2009-01-10T00:00:00.0/2009-01-11T00:00:00.0;11740.3457;9732.0654;8785.5469;946.5190;12566.7793;7537.3755;4568.5298;2968.8452;5897.0078;0.9844
2009-01-11T00:00:00.0/2009-01-12T00:00:00.0;11731.5732;9627.5361;8538.9414;1088.5945;12108.5537;6888.5176;4571.9175;2316.6001;5061.8843;0.9844
2009-01-12T00:00:00.0/2009-01-13T00:00:00.0;11722.2832;9706.5449;8790.3193;916.2248;12549.7910;7341.8540;4945.1182;2396.7358;5896.8701;0.9847
2009-01-13T00:00:00.0/2009-01-14T00:00:00.0;11712.3779;9485.6953;8154.0005;1331.6948;11403.0859;6699.7793;3889.8635;2809.9160;4447.2163;0.9847
2009-01-14T00:00:00.0/2009-01-15T00:00:00.0;11701.9180;9421.2783;8019.7305;1401.5483;11175.0283;6369.5835;2517.0071;3852.5764;3283.8579;0.9851
