# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2008-10-30T00:00:00.0
# Date end (ISO 8601): 2023-11-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.7259
# Longitude (positive East, ISO 19115): -60.6638
# Altitude (m): 10.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-12-12
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-10-30T00:00:00.0/2008-10-31T00:00:00.0;10903.9150;8366.7559;7196.0786;1170.6769;10587.4004;8288.8145;7079.4619;1209.3523;9927.0977;0.9795
2008-10-31T00:00:00.0/2008-11-01T00:00:00.0;10951.4619;8410.9873;7322.1860;1088.8008;10790.1592;8343.8809;7228.3633;1115.5177;10294.0840;0.9837
2008-11-01T00:00:00.0/2008-11-02T00:00:00.0;10998.2881;8183.4175;6909.2036;1274.2140;10065.8643;7969.4302;6418.9326;1550.4973;8761.2783;0.9833
2008-11-02T00:00:00.0/2008-11-03T00:00:00.0;11044.3818;8019.3521;6468.2188;1551.1329;9246.4238;7881.9731;6235.6162;1646.3572;8534.9160;0.9826
2008-11-03T00:00:00.0/2008-11-04T00:00:00.0;11089.6914;8311.5742;7209.2417;1102.3322;10563.6572;8259.2900;7070.7812;1188.5085;10366.7588;0.9771
2008-11-04T00:00:00.0/2008-11-05T00:00:00.0;11134.2607;8226.2617;7094.8726;1131.3888;10341.4365;6702.4199;3431.6467;3270.7732;5092.2329;0.9819
2008-11-05T00:00:00.0/2008-11-06T00:00:00.0;11178.1123;8131.2407;6838.6816;1292.5590;9826.9580;6621.8799;4140.3267;2481.5530;5683.0503;0.9812
2008-11-06T00:00:00.0/2008-11-07T00:00:00.0;11221.1885;8092.0664;6209.7026;1882.3638;8780.5713;8092.0664;6209.7026;1882.3638;8780.5713;0.9806
2008-11-07T00:00:00.0/2008-11-08T00:00:00.0;11263.4795;8403.3193;7069.3110;1334.0079;10251.6445;8250.5264;6680.1924;1570.3337;9534.9619;0.9851
2008-11-08T00:00:00.0/2008-11-09T00:00:00.0;11304.9756;8406.7539;7364.5767;1042.1771;10701.6211;5961.9717;3225.4395;2736.5320;4264.5137;0.9844
2008-11-09T00:00:00.0/2008-11-10T00:00:00.0;11345.6387;8321.5732;7051.6182;1269.9552;10116.5068;8187.6113;6895.8354;1291.7761;9335.4834;0.9840
2008-11-10T00:00:00.0/2008-11-11T00:00:00.0;11385.5381;8490.5723;7367.6401;1122.9326;10651.8369;3376.2637;251.5168;3124.7468;315.7008;0.9729
2008-11-11T00:00:00.0/2008-11-12T00:00:00.0;11424.6143;8407.1709;7065.0493;1342.1211;10079.0703;7647.5874;5233.2295;2414.3582;6730.3735;0.9826
