Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-10-01T00:00:00.0/2008-10-02T00:00:00.0;9982.6982;8604.9414;7917.7588;687.1826;11956.9014;7232.4082;4889.1421;2343.2661;6087.1099;0.9858
2008-10-02T00:00:00.0/2008-10-03T00:00:00.0;10026.5176;8482.2607;7696.29;785.9706;11556.7422;6896.3838;3793.9575;3102.4265;5149.8784;0.9851
2008-10-03T00:00:00.0/2008-10-04T00:00:00.0;10069.8975;8618.2617;7856.9702;761.2915;11792.3242;7318.8667;4496.0566;2822.8103;5578.8462;0.9847
2008-10-04T00:00:00.0/2008-10-05T00:00:00.0;10112.8506;8675.6387;8017.542;658.0972;12131.123;8124.0742;7152.8159;971.2582;9577.4414;0.984
2008-10-05T00:00:00.0/2008-10-06T00:00:00.0;10155.4023;8826.8047;8159.439;667.3657;12282.1807;8619.6338;7958.6147;661.0189;11219.0742;0.9837
2008-10-06T00:00:00.0/2008-10-07T00:00:00.0;10197.4824;8722.877;7843.5742;879.3021;11649.2158;8516.8047;7651.2183;865.5862;10669.3555;0.9833
2008-10-07T00:00:00.0/2008-10-08T00:00:00.0;10239.0977;8446.8242;7307.8926;1138.931;10645.7021;8122;6907.2036;1214.7968;9057.0166;0.983
2008-10-08T00:00:00.0/2008-10-09T00:00:00.0;10280.291;8492.4834;7608.5459;883.9376;11107.7939;6873.7993;4907.0596;1966.7395;5745.0005;0.9826
2008-10-09T00:00:00.0/2008-10-10T00:00:00.0;10320.9336;8498.0596;7332.8955;1165.1643;10561.3975;7485.4717;5755.8696;1729.6022;6965.6753;0.9823
2008-10-10T00:00:00.0/2008-10-11T00:00:00.0;10361.1328;8799.9805;7937.0396;862.9413;11631.9795;8441.6016;7400.4033;1041.1989;10026.5283;0.9767
