Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2004-02-01T00:00:00.0/2004-03-01T00:00:00.0;320325.0312;232416.6719;192068.25;40348.4336;266959.8125;180511.8906;109179.5859;71332.3125;156497.0312;0.9784
2004-03-01T00:00:00.0/2004-04-01T00:00:00.0;305983.6875;218767.0312;176752.0469;42014.9844;256772.375;153910;85771.5312;68138.4766;127207.5547;0.983
2004-04-01T00:00:00.0/2004-05-01T00:00:00.0;250729.4844;177824.8281;143225.8438;34598.9844;229272.0156;99006.6953;48659.6328;50347.0625;80316.6016;0.9811
2004-05-01T00:00:00.0/2004-06-01T00:00:00.0;217602;158356.6719;130986.8047;27369.8613;237435.3594;88635.0156;51686.7539;36948.2617;93014.9844;0.9786
2004-06-01T00:00:00.0/2004-07-01T00:00:00.0;191070.2656;136427.5625;111437.3281;24990.2383;214506;88453.9766;58143.8047;30310.1719;111453.5938;0.9833
2004-07-01T00:00:00.0/2004-08-01T00:00:00.0;206816.7656;146147.2344;116547.0391;29600.1914;214983.4688;88769.2969;52080.6914;36688.6055;97885.6328;0.9826
2004-08-01T00:00:00.0/2004-09-01T00:00:00.0;241573.0469;163803.6094;119375.5;44428.1094;194182.4062;115322.1172;59694.8984;55627.2188;97353.4766;0.9776
2004-09-01T00:00:00.0/2004-10-01T00:00:00.0;277514.4688;175072.6094;111611.5781;63461.0312;161012.2812;143552.9688;75178.7578;68374.2031;110448.6406;0.9828
2004-10-01T00:00:00.0/2004-11-01T00:00:00.0;327601.3438;230535.0625;179211.1875;51323.875;248782.3594;180512.0781;101084.0234;79428.0625;138203.1875;0.9572
2004-11-01T00:00:00.0/2004-12-01T00:00:00.0;342936.3438;249673.4531;206851.5625;42821.8867;284620.1875;180918.4375;105364.3828;75554.0547;141806.4219;0.9782
2004-12-01T00:00:00.0/2005-01-01T00:00:00.0;365197.25;263750.1562;217439.4844;46310.6641;298385.4688;205298.5625;128066.7891;77231.7812;175826;0.9811
2005-01-01T00:00:00.0/2005-02-01T00:00:00.0;361433.3125;262393.2188;218781.2031;43612.0156;301358.875;208816.8281;145944.1562;62872.6719;202203.5938;0.959
2005-02-01T00:00:00.0/2005-03-01T00:00:00.0;309102.1875;222181.5312;182695.7344;39485.7969;253545.3125;163819.1406;91296.6328;72522.5078;129656.6094;0.9835
2005-03-01T00:00:00.0/2005-04-01T00:00:00.0;306333.25;221356.125;182696.4531;38659.6602;267002.5312;173214.6875;116104.8906;57109.7969;171021.0469;0.9812
2005-04-01T00:00:00.0/2005-05-01T00:00:00.0;251093.3125;179546.7188;147651.9062;31894.8145;237737.2188;98762.8281;48268.8711;50493.9609;79359.6953;0.9825
2005-05-01T00:00:00.0/2005-06-01T00:00:00.0;217865.2656;156685.8125;130284.7266;26401.0918;235935.5156;98477.3125;61473.625;37003.6914;110858.8047;0.9824
2005-06-01T00:00:00.0/2005-07-01T00:00:00.0;191113.7969;135419.3438;110202.7812;25216.5586;211868.1406;68827.9297;35638.0195;33189.9141;68781.5156;0.9793
2005-07-01T00:00:00.0/2005-08-01T00:00:00.0;206630.1094;149445.8281;123445.8359;25999.9863;230608.4844;124018.125;88933.1484;35084.9688;165272.375;0.9803
2005-08-01T00:00:00.0/2005-09-01T00:00:00.0;241234.875;157947.5312;107426.7266;50520.8008;173643.875;130814.9453;80173.2734;50641.6719;131520.7031;0.9834
2005-09-01T00:00:00.0/2005-10-01T00:00:00.0;277164.2188;186672.125;137303.4844;49368.6484;203911.8594;143332.3125;80635.625;62696.6875;119225.1719;0.9848
2005-10-01T00:00:00.0/2005-11-01T00:00:00.0;327322.7812;227967.4219;174126.3594;53841.0742;240666.375;144374.5312;69107.8359;75266.6953;94608.4844;0.9832
2005-11-01T00:00:00.0/2005-12-01T00:00:00.0;342791.9375;245814.2656;197679.9531;48134.3164;270532.7188;175586.4062;104993.2812;70593.125;142209.9375;0.983
2005-12-01T00:00:00.0/2006-01-01T00:00:00.0;365167.75;262949.6875;216145.5156;46804.1758;296450.2812;203524.4375;130182.0625;73342.375;174399.9688;0.9715
2006-01-01T00:00:00.0/2006-02-01T00:00:00.0;361524.75;261485.7031;218340.5938;43145.1016;300702.5312;203765.4531;130436.9922;73328.4609;182682.0781;0.9581
2006-02-01T00:00:00.0/2006-03-01T00:00:00.0;309310.1562;222392.5156;180585.4062;41807.1172;249801.625;185326.1094;123880.8047;61445.3125;169496.4844;0.984
2006-03-01T00:00:00.0/2006-04-01T00:00:00.0;306680.9375;218791.6562;179605.6875;39185.9766;261329.6875;152661.375;94875.0078;57786.375;138417.6562;0.9835
2006-04-01T00:00:00.0/2006-05-01T00:00:00.0;251452.75;180566.2969;148722.5312;31843.7598;239379.0469;116957.9688;72017.6094;44940.3594;118683.9297;0.9843
2006-05-01T00:00:00.0/2006-06-01T00:00:00.0;218124.4844;158407.4375;129959.7344;28447.7012;235064.5938;129798.4531;95195.2344;34603.2227;169510.0938;0.9813
2006-06-01T00:00:00.0/2006-07-01T00:00:00.0;191159.5156;134139.0312;107166.0859;26972.9473;204645.6719;78186.8359;45234.8867;32951.9531;85797.7734;0.9834
2006-07-01T00:00:00.0/2006-08-01T00:00:00.0;206453.0469;148627.3594;121891.75;26735.5996;227406.2969;121484.5547;84832.0469;36652.5039;158153.8594;0.9833
2006-08-01T00:00:00.0/2006-09-01T00:00:00.0;240908.125;167191.2969;125522.9531;41668.3438;205692.6406;128368.1172;80576.0703;47792.0469;131354.0156;0.9825
2006-09-01T00:00:00.0/2006-10-01T00:00:00.0;276820.125;187057.2031;131982.9375;55074.2617;192032.6875;151283.4844;86398.7578;64884.7305;125769.9453;0.9701
2006-10-01T00:00:00.0/2006-11-01T00:00:00.0;327044.9062;230158.3906;180502.2812;49656.0977;250073.1719;154581.8281;75687.8828;78893.9375;104977.5547;0.9802
2006-11-01T00:00:00.0/2006-12-01T00:00:00.0;342645.8125;245824.1094;197314.0625;48510.0469;269619.375;178408.4375;105318.7031;73089.7344;141165.9688;0.9806
2006-12-01T00:00:00.0/2007-01-01T00:00:00.0;365136.4375;261612.5469;214036.2969;47576.25;292765.25;180266.9219;94787.4766;85479.4453;128972.1797;0.9722
2007-01-01T00:00:00.0/2007-02-01T00:00:00.0;361614.6875;258751.1406;211939.7031;46811.4297;289381.1875;175600.7031;93393.7266;82206.9844;128002.1328;0.9815
2007-02-01T00:00:00.0/2007-03-01T00:00:00.0;309515.8125;222038.4219;180931.0938;41107.3242;250341.5938;174779.4844;107643.8828;67135.6016;151853.75;0.9844
2007-03-01T00:00:00.0/2007-04-01T00:00:00.0;307027.0938;223543.0938;190585.0781;32958.0078;280897.4062;162444.625;99111.7578;63332.8594;150285;0.9835
2007-04-01T00:00:00.0/2007-05-01T00:00:00.0;251814.4844;180240.375;148515.4219;31724.9414;238992.0781;112171.4453;60360.3633;51811.0859;100749.8281;0.9848
2007-05-01T00:00:00.0/2007-06-01T00:00:00.0;218390.1094;157607.1875;130234.7734;27372.418;234955.9531;92778.2109;43028.6406;49749.5742;77508.4688;0.9832
2007-06-01T00:00:00.0/2007-07-01T00:00:00.0;191209.5;136128.5469;110704.4766;25424.0684;212729.5625;85953.5312;43255;42698.5352;83036.0156;0.982
2007-07-01T00:00:00.0/2007-08-01T00:00:00.0;206273.2188;147841.0469;118478.4688;29362.5723;219603.8281;115871.8281;71194.7266;44677.1055;128210.6172;0.9829
2007-08-01T00:00:00.0/2007-09-01T00:00:00.0;240573.5;164444.4531;120155.2344;44289.2188;196360.5469;115753.9375;61283.6562;54470.2852;100237.4219;0.9834
2007-09-01T00:00:00.0/2007-10-01T00:00:00.0;276469.1562;162149.0781;93911.9453;68237.1328;132800.4062;112917.6875;34374.2734;78543.4141;49158.2383;0.9851
2007-10-01T00:00:00.0/2007-11-01T00:00:00.0;326763.4688;210631.0312;146100.4062;64530.625;198875.375;152400.6094;69969.1875;82431.4219;94049.7969;0.9783
2007-11-01T00:00:00.0/2007-12-01T00:00:00.0;342498.4688;246961.1719;200434.8906;46526.2656;274196.1562;180696.4375;100830.7422;79865.6875;135059.875;0.9819
2007-12-01T00:00:00.0/2008-01-01T00:00:00.0;365103.9688;261344.375;211596.2969;49748.0859;288613.5938;171656.7031;86122.5234;85534.1797;119460.9531;0.9827
2008-01-01T00:00:00.0/2008-02-01T00:00:00.0;361702.25;260106.3906;218297.8281;41808.5742;300832.4062;160691.6562;66606.2031;94085.4609;93986.5156;0.982
2008-02-01T00:00:00.0/2008-03-01T00:00:00.0;320296.25;232780.3594;195667.9688;37112.3984;273090.7188;160172.0625;87606.9453;72565.1172;127080.6875;0.9841
2008-03-01T00:00:00.0/2008-04-01T00:00:00.0;305933.625;220531.7656;181038.7188;39493.0469;264337.7812;145980.8281;82557.9766;63422.8633;123445.5469;0.983
2008-04-01T00:00:00.0/2008-05-01T00:00:00.0;250675.2031;182230.5781;152254.1406;29976.4355;246559.3906;113828.8828;60358.5703;53470.3125;101041.7656;0.9841
2008-05-01T00:00:00.0/2008-06-01T00:00:00.0;217562.8281;157439.3281;130120.6094;27318.7266;235545.6406;99874.6641;60438.8008;39435.8672;106969.0469;0.9831
2008-06-01T00:00:00.0/2008-07-01T00:00:00.0;191066.4688;137914;113712.2188;24201.7715;219513.7031;83369.4609;46032.4414;37337.0156;88649.6875;0.9839
2008-07-01T00:00:00.0/2008-08-01T00:00:00.0;206849.2344;143656.7188;111255.125;32401.5977;204269.0312;103771.2109;64309.6484;39461.5586;119430.5938;0.9829
2008-08-01T00:00:00.0/2008-09-01T00:00:00.0;241623.6094;170748.6562;132423.3438;38325.3203;218373.0625;132558.0312;82197.1406;50360.8945;135887.3594;0.9841
2008-09-01T00:00:00.0/2008-10-01T00:00:00.0;277557.625;193123.5;142534.25;50589.25;209048.5156;152471.3125;88879.8594;63591.457;131414.8125;0.9847
2008-10-01T00:00:00.0/2008-11-01T00:00:00.0;327627.5625;228965.4219;174660.0938;54305.3281;241033.125;156745;76983.25;79761.75;105726.3203;0.9832
2008-11-01T00:00:00.0/2008-12-01T00:00:00.0;342945.3125;243003.4531;191334.1406;51669.3242;259243.0312;182246.1875;100629.2734;81616.9219;133628.75;0.9827
2008-12-01T00:00:00.0/2009-01-01T00:00:00.0;365196.2188;259960.5625;206894.5938;53065.9727;281448.3438;188706.75;96007.9844;92698.7578;129602.4375;0.9813
2009-01-01T00:00:00.0/2009-02-01T00:00:00.0;361422.2188;263371.9062;218536.7344;44835.1641;301398.9688;210107.4844;138536.6406;71570.8438;191184.875;0.982
2009-02-01T00:00:00.0/2009-03-01T00:00:00.0;309077.6875;220607.25;179020.8125;41586.4336;247680.3281;165899.7031;87409.6094;78490.1016;120550.4141;0.9844
2009-03-01T00:00:00.0/2009-04-01T00:00:00.0;306287.375;219687.2656;180571.4531;39115.8164;263428;169815.9688;107250.0156;62565.9609;158116.9219;0.9831
2009-04-01T00:00:00.0/2009-05-01T00:00:00.0;251042.6406;175913.8125;138375.5;37538.3086;219837.5938;128809.1484;73541;55268.1523;117714.6016;0.9828
2009-05-01T00:00:00.0/2009-06-01T00:00:00.0;217829.6406;153194.25;122576.2109;30618.0449;220264.5312;89550.8281;49248.2773;40302.5547;88044.6484;0.9832
2009-06-01T00:00:00.0/2009-07-01T00:00:00.0;191114.8125;138370.5312;114841.4766;23529.0566;222232.6094;106378.1875;70237.2422;36140.9414;132486.3125;0.9829
2009-07-01T00:00:00.0/2009-08-01T00:00:00.0;206669.6719;148774.2969;122105.1797;26669.123;227090.5781;94723.5859;45380.0742;49343.5117;80160.0938;0.9831
2009-08-01T00:00:00.0/2009-09-01T00:00:00.0;241294.7344;172513.25;136568.5312;35944.7188;226366.0312;140972.0156;95363.0391;45608.9805;158084.375;0.9819
2009-09-01T00:00:00.0/2009-10-01T00:00:00.0;277216;197462.7656;155197.5781;42265.1758;230472.1406;144623.4688;80793.5938;63829.875;117780.7266;0.9846
2009-10-01T00:00:00.0/2009-11-01T00:00:00.0;327353.9062;230180.125;176834.6719;53345.4531;244101.4688;175309.6406;99543.8594;75765.7812;135544.4844;0.9835
2009-11-01T00:00:00.0/2009-12-01T00:00:00.0;342801.1875;241692.9062;192199.4219;49493.4922;261446.3281;178380.0781;93390.6406;84989.4375;124296.5234;0.9839
2009-12-01T00:00:00.0/2010-01-01T00:00:00.0;365165.25;263247.75;218985.7812;44261.9531;301070.9688;169761.5781;78194.3125;91567.2578;104034.1641;0.9824
2010-01-01T00:00:00.0/2010-02-01T00:00:00.0;361512.75;260040.9375;214739.1094;45301.832;294506.2188;189195.7969;101680.2344;87515.5625;141249.8281;0.9793
2010-02-01T00:00:00.0/2010-03-01T00:00:00.0;309287.125;222512.6406;186652.3906;35860.2422;260349.4062;157830.0781;83722.3047;74107.7656;117906.4688;0.9799
2010-03-01T00:00:00.0/2010-04-01T00:00:00.0;306641.125;220185.0312;181025.7188;39159.3242;264130.6875;166872.8281;96093.7656;70779.0625;143523.1406;0.9794
